Year,Month,DayPeriod,Type,Operator,Location,LocationType,Continent,Country,WaterBodyType,WaterBodyName,FederalSubject,CauseCategory,WeatherCondition,Survivors,FlightPhase,Aboard,Ground,Fatalities,SurvivalSeverity,latitude,longitude,geocoded_info
1955,Jul,Morning,Convair CV-340-32,Braniff Airlines,"Chicago, Illinois",Land,North America,United States,Unknown,Unknown,Illinois,Unknown,Unknown,No,Landing,43,0,22,Partial Survived,41.8755616,-87.6244212,
1955,Jul,Morning,Lockheed 049 Constellation,El Al," Petrich, Bulgaria",Land,Europe,Bulgaria,Unknown,Unknown,Unknown,Weather,Thunderstorm,No,Unknown,58,0,58,None Survived,41.3952948,23.2067832,
1955,Aug,Afternoon,Convair CV-240-0,American Airlines,"Fort Leonard Wood, Missouri",Land,North America,United States,Unknown,Unknown,Missouri,Unknown,Unknown,No,Landing,30,0,30,None Survived,37.70114,-92.1693303,
1955,Aug,Unknown,Unknown,Aeroflot," Voronezh, Russia",Land,Europe,Russia,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,25,0,25,None Survived,51.6605982,39.2005858,
1955,Aug,Afternoon,Fairchild C119G / Fairchild C119G,Military - U.S. Air Force / Military - U.S. Air Force," Edelweiler, West Germany",Land,Unknown,Unknown,Unknown,Unknown,West Germany,Unknown,Unknown,No,Unknown,66,0,66,None Survived,48.5376642,8.5424723,Matched: Edelweiler
1955,Aug,Unknown,Douglas DC-3,Cruzeiro,"Caparao Mountain, Brazil",Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,13,0,13,None Survived,-10.3333333,-53.2,Matched: Brazil
1955,Aug,Unknown,Douglas C-47A,Kalinga Airlines,"Simra, Nepal",Land,Asia,Nepal,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,2,Partial Survived,27.1604122,84.9765794,
1955,Sep,Unknown,Douglas DC-3,Union of Burma Airways,"Meikitila, Myanmar",Land,Asia,Myanmar,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,9,0,9,None Survived,17.1750495,95.9999652,Matched: Myanmar
1955,Sep,Unknown,Douglas DC-3,Currey Air Transport,"Burbank, California",Land,North America,United States,Unknown,Unknown,California,Mechanical,Unknown,No,Take,33,0,3,Partial Survived,34.1812089,-118.307201,
1955,Sep,Unknown,Latecoere 631,Societe France Hydro,"Sombolabo, French Equitorial Africa",Land,Unknown,Unknown,Unknown,Unknown,French Equitorial Africa,Unknown,Unknown,No,Unknown,16,0,16,None Survived,,,Not found
1955,Sep,Unknown,Bristol 170 Freighter 31,PacifiWestern Airlines," Thorhild, Canada",Land,North America,Canada,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,6,0,2,Partial Survived,54.2507824,-113.0570669,
1955,Sep,Night,Canadair C-4,British seas Airways,"Idris, Libya",Land,Africa,Libya,Unknown,Unknown,Unknown,Human Error,Unknown,No,Landing,47,0,15,Partial Survived,30.7546928,20.2263492,
1955,Sep,Morning,Douglas C-54A,Flying Tiger Line,Pacific Ocean,Watery,Unknown,Unknown,Ocean,Pacific Ocean,Unknown,Unknown,Unknown,No,Unknown,5,0,3,Partial Survived,-0.703107,-120.9375,
1955,Oct,Unknown,Douglas C54A,Faucett,"Pico Oiriruma-Vinac, Peru",Land,South America,Peru,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,35,0,19,Partial Survived,-6.8699697,-75.0458515,Matched: Peru
1955,Oct,Morning,Douglas DC-4,United Air Lines," Centennial, Wyoming",Land,North America,United States,Unknown,Unknown,Wyoming,Unknown,Clear,No,En Route,66,0,66,None Survived,41.2936505,-106.1186854,
1955,Oct,Afternoon,Convair CV-340-58,JAT Yugoslav Airlines," Wien, Austria",Land,Europe,Austria,Unknown,Unknown,Unknown,Human Error,Unknown,No,Landing,29,0,7,Partial Survived,48.2083537,16.3725042,
1955,Nov,Evening,Douglas DC-6B,United Air Lines,"Longmont, Colorado",Land,North America,United States,Unknown,Unknown,Colorado,Unknown,Unknown,No,Unknown,44,0,44,None Survived,40.1672117,-105.101928,
1955,Nov,Night,Douglas C-54,Peninsular,"Seattle, Washingon",Watery,Unknown,Unknown,Sea,"Seattle,",Unknown,Unknown,Unknown,No,Take,74,0,28,Partial Survived,47.6038321,-122.330062,Matched: Seattle
1955,Nov,Unknown,Douglas MC-54M,Military - U.S. Air Force," Las Vegas, Nevada",Land,North America,United States,Unknown,Unknown,Nevada,Unknown,Unknown,No,Unknown,14,0,14,None Survived,36.1674263,-115.1484131,
1955,Nov,Evening,Douglas C124-DL Globemaster II,Military - US Air Force,"Iwo Jima, Japan",Land,Asia,Japan,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,11,0,10,Partial Survived,24.78033,141.3205867,
1955,Nov,Night,Boeing RB-52B,Military - U.S. Air Force," Ballico, California",Land,North America,United States,Unknown,Unknown,California,Unknown,Unknown,No,Unknown,10,0,10,None Survived,37.4522281,-120.7018434,
1955,Dec,Night,Douglas DC-3,Cruzeiro,"Belem, Brazil",Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,6,0,6,None Survived,-1.45056,-48.4682453,
1955,Dec,Evening,Curtiss C-46A,Riddle Airlines,"Hollywood, South Carolina",Land,North America,United States,Unknown,Unknown,South Carolina,Unknown,Unknown,No,Unknown,2,0,2,None Survived,32.7343442,-80.2417651,
1955,Dec,Unknown,Douglas DC-3,Cruzeiro Do Sud,"Sao Paulo, Brazil",Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,Take,26,0,26,None Survived,-23.5506507,-46.6333824,
1955,Dec,Night,Lockheed 749C-79-12 Constellation,Eastern Air Lines,"Jacksonville, Florida",Land,North America,United States,Unknown,Unknown,Florida,Weather,Fog,No,Landing,17,0,17,None Survived,30.3321838,-81.655651,
1956,Jan,Unknown,Douglas C-47,Ansett ANA,"Frederick Henry Bay,  Australia",Watery,North America,US,Gulf,"Henry Bay,",Unknown,Unknown,Unknown,No,Landing,2,0,1,Partial Survived,-42.91702,147.60205,
1956,Jan,Night,Douglas DC-3,Quebecair,"Oreway, Canada",Land,North America,Canada,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,18,0,4,Partial Survived,52.5684809,-65.8779818,
